Freq	Flux	Error
5.	0.00073	0.000073
8.	0.00101	0.000101
14.62	0.00343	0.0002
15.37	0.0031	0.00018
16.12	0.00391	0.00022
16.87	0.00343	0.00019
17.62	0.00383	0.00024
43.	0.0108	0.0006
100.	0.0789	0.0079
273.	4.46	0.446
353.	10.3	1.03
353.	12.7	1.27
353.	14.9	1.2
400.	21.5	2.8
666.	119.	24.
666.	159.9	15.99
857.	203.	61.
3000.	381.	23.
