Freq	Flux	Error
1.5	0.0006	0.0002
1.5	0.00086	0.000086
5.	0.00119	0.00016
5.	0.0012	0.00004
5.	0.00117	0.000117
14.62	0.00130	0.00028
15.	0.00154	0.00018
15.	0.00175	0.000175
15.37	0.00153	0.0003
16.12	0.00134	0.00018
16.87	0.00133	0.00014
230.	0.65	0.02
273.	0.92	0.03
345.	1.67	0.02
353.	9.44	0.944
354.	1.2	0.24
375.	2.65	0.03
666.	18.9	0.35
857.	33.95	0.29
857.	28.	11.2
1880.	75.7	15.14
