Freq	Flux	Error
5.	0.00023	0.00001
8.	0.0004	0.00002
8.	0.00037	0.000037
16.	0.00121	0.00005
16.12	0.00051	0.000101
43.	0.0052	0.0005
86.	0.012	0.0012
89.	0.014	0.0014
111.	0.0277	0.0032
353.	1.19	0.1
400.	1.53	0.21
666.	7.7	1.6
857.	13.4	1.3
