Freq	Flux	Error
1.5	0.0008	0.0002
5.	0.0019	0.0002
5.	0.00067	0.000067
8.	0.00055	0.000055
16.12	0.00030	0.000216
273.	0.25	0.04
353.	0.71	0.071
375.	0.7	0.04
666.	3.9	0.1
857.	7.1	0.28
3000.	17.	3.
