Freq	Flux	Error
5.	0.00083	0.00009
8.	0.00095	0.00004
14.62	0.00311	0.00053
15.	0.0023	0.00032
15.37	0.00268	0.00028
16.12	0.00239	0.00026
16.87	0.00286	0.00030
17.62	0.00251	0.00034
43.	0.00515	0.00052
110.	0.046	0.0046
230.	0.49	0.02
230.	0.466	0.05
273.	0.75	0.01
285.	0.69	0.069
345.	1.39	0.03
353.	3.09	0.309
375.	1.8	0.02
666.	8.22	0.26
857.	14.2	0.9
3000.	71.1	7.11
5000.	43.5	4.35
12000.	6.8	0.68
25000.	0.3	0.03
