Freq	Flux	Error
5.	0.00006	0.00001
8.	0.00022	0.000022
8.	0.00025	0.00004
16.	0.00032	0.000025
16.12	0.00039	0.000096
43.	0.01	0.0005
86.	0.035	0.0035
89.	0.04	0.004
111.	0.0828	0.004
150.	0.32	0.07
230.	0.88	0.088
230.	0.88	0.12
273.	1.46	0.12
353.	7.78	0.778
353.	4.79	0.39
375.	4.08	0.05
375.	3.75	0.15
400.	5.54	0.21
400.	6.61	0.86
666.	43.	11.
666.	23.7	0.9
857.	37.2	1.2
857.	74.	22.
3000.	300.	30.
6000.	104.	10.4
