Freq	Flux	Error
5.	0.00075	0.000075
8.	0.00076	0.000076
14.62	0.00058	0.000086
15.37	0.00052	0.000064
16.12	0.00065	0.000078
16.87	0.00066	0.000069
17.62	0.00052	0.0001
230.	0.37	0.037
230.	0.36	0.02
300.	1.	0.5
353.	1.79	0.11
353.	2.24	0.224
666.	8.5	2.1
750.	13.	3.
857.	11.3	1.8
1540.	35.	7.
1810.	40.	12.
2080.	33.	10.
2140.	23.	8.
2310.	32.	11.
3000.	20.7	1.7
