Freq	Flux	Error
5.	0.00068	0.00004
8.5	0.00081	0.00003
14.62	0.00104	0.00011
15.37	0.00104	0.00014
16.	0.00090	0.00003
16.12	0.00112	0.00013
16.87	0.0012	0.00016
17.62	0.00138	0.00015
22.5	0.0014	0.0001
43.3	0.0044	0.0006
111.	0.047	0.0056
230.	0.35	0.035
353.	0.9	0.01
375.	0.5	0.05
666.	2.85	0.22
666.	3.21	0.321
857.	12.	1.2
1870.	68.8	6.88
3000.	71.3	7.13
3000.	72.	7.2
5000.	17.4	1.74
5000.	18.	1.8
