Freq	Flux	Error
8.	0.00023	0.000023
15.	0.00056	0.00005
16.	0.00054	0.000033
16.12	0.00076	0.000094
86.	0.026	0.002
87.	0.012	0.0012
87.	0.016	0.0016
91.	0.0392	0.0039
115.	0.091	0.002
230.	1.	0.1
230.	0.74	0.11
230.	0.91	0.091
230.	0.58	0.058
273.	2.04	0.204
273.	1.	0.1
349.	1.97	0.13
353.	2.98	0.298
353.	6.51	0.651
353.	3.95	0.24
353.	5.34	0.43
375.	3.	0.3
400.	6.91	0.91
666.	68.4	6.84
666.	21.	2.
666.	31.8	5.5
666.	34.2	6.9
857.	58.	18.
857.	30.	3.
3000.	70.3	14.8
