Freq	Flux	Error
8.	0.00066	0.000066
16.12	0.00074	0.000092
230.	1.5	0.15
230.	0.85	0.01
230.	0.85	0.08
238.	0.8	0.12
272.	1.07	0.11
353.	2.78	0.278
353.	10.5	1.05
379.	2.22	0.37
666.	8.33	0.833
677.	16.2	4.9
857.	22.83	0.72
3000.	130.	13.
