Freq	Flux	Error
5.	0.00017	0.000003
8.	0.00029	0.000029
8.	0.00047	0.000003
14.62	0.00086	0.000177
15.37	0.00099	0.000136
16.12	0.00100	0.00020
16.87	0.00076	0.000158
17.62	0.00110	0.00023
230.	0.23	0.02
273.	0.38	0.03
353.	5.68	0.568
375.	0.71	0.11
857.	20.8	3.2
3000.	78.5	12.6
3000.	79.	7.9
5000.	67.7	6.1
5000.	66.	6.6
12000.	28.3	1.4
12000.	26.	2.6
25000.	6.2	0.3
25000.	5.	0.5
