Freq	Flux	Error
8.	0.00038	0.00006
8.	0.00014	0.00003
16.12	0.00039	0.000076
231.	0.32	0.032
353.	0.97	0.097
353.	0.9	0.09
666.	1.4	0.28
857.	6.3	0.63
4290.	7.9	0.79
5000.	20.87	2.087
12000.	5.13	0.513
12500.	1.8	0.18
25000.	1.93	0.193
