Freq	Flux	Error
5.	0.00115	0.000115
8.	0.0016	0.00016
14.62	0.00240	0.00025
15.37	0.00234	0.00026
16.	0.00206	0.00012
16.12	0.00241	0.00037
16.87	0.00226	0.00024
17.62	0.00262	0.00029
91.	0.1	0.01
231.	2.6	0.14
231.	3.	0.3
273.	2.3	0.2
273.	4.7	0.05
349.	7.12	0.33
353.	10.18	1.018
353.	16.86	1.686
353.	8.37	0.91
353.	14.7	0.62
375.	7.8	0.64
400.	10.9	1.15
666.	56.1	12.28
666.	100.3	12.40
857.	91.5	22.78
857.	45.	3.
3000.	112.	20.15	
5000.	32.	6.12
12000.	5.75	1.2
25000.	0.69	0.15
