Freq	Flux	Error
5.	0.00015	0.00004
8.	0.00025	0.00006
8.	0.00016	0.00003
16.12	0.00123	0.0001
231.	1.	0.1
353.	9.11	0.911
353.	4.	0.4
353.	1.4	0.14
666.	10.8	1.08
666.	8.7	0.87
857.	24.	2.4
3000.	70.66	7.066
